Record,Date,UTC Time,
     20001,11/23/2021,18:20:32,   5.000000E+00
     20002,11/23/2021,18:20:42,   1.000000E+01
     20003,11/23/2021,18:20:52,   1.500000E+01
     20004,11/23/2021,18:21:02,   2.000000E+01
     20005,11/23/2021,18:21:12,   2.500000E+01
     20006,11/23/2021,18:21:22,   3.000000E+01
     20007,11/23/2021,18:21:32,   3.500000E+01
     20008,11/23/2021,18:21:42,   4.000000E+01
     20009,11/23/2021,18:21:52,   4.500000E+01
     20010,11/23/2021,18:22:02,   5.000000E+01
     20011,11/23/2021,18:22:12,   5.500000E+01
     20012,11/23/2021,18:22:22,   6.000000E+01
     20013,11/23/2021,18:22:32,   6.500000E+01
     20014,11/23/2021,18:22:42,   7.000000E+01
     20015,11/23/2021,18:22:52,   7.500000E+01
     20016,11/23/2021,18:23:02,   8.000000E+01
     20017,11/23/2021,18:23:12,   8.500000E+01
     20018,11/23/2021,18:23:22,   9.000000E+01
     20019,11/23/2021,18:23:32,   9.500000E+01
     20020,11/23/2021,18:23:42,   1.000000E+02
     20021,11/23/2021,18:23:52,   1.050000E+02
     20022,11/23/2021,18:24:02,   1.100000E+02
     20023,11/23/2021,18:24:12,   1.150000E+02
     20024,11/23/2021,18:24:22,   1.200000E+02
     20025,11/23/2021,18:24:32,   1.250000E+02
     20026,11/23/2021,18:24:42,   1.300000E+02
     20027,11/23/2021,18:24:52,   1.350000E+02
     20028,11/23/2021,18:25:02,   1.400000E+02
     20029,11/23/2021,18:25:12,   1.450000E+02
     20030,11/23/2021,18:25:22,   1.500000E+02
     20031,11/23/2021,18:25:32,   1.550000E+02
     20032,11/23/2021,18:25:42,   1.600000E+02
     20033,11/23/2021,18:25:52,   1.650000E+02
     20034,11/23/2021,18:26:02,   1.700000E+02
     20035,11/23/2021,18:26:12,   1.750000E+02
     20036,11/23/2021,18:26:22,   1.800000E+02
     20037,11/23/2021,18:26:32,   1.850000E+02
     20038,11/23/2021,18:26:42,   1.900000E+02
     20039,11/23/2021,18:26:52,   1.950000E+02
     20040,11/23/2021,18:27:02,   2.000000E+02
     20041,11/23/2021,18:27:12,   4.000000E+00
     20042,11/23/2021,18:27:22,   9.000000E+00
     20043,11/23/2021,18:27:32,   1.400000E+01
     20044,11/23/2021,18:27:42,   1.900000E+01
     20045,11/23/2021,18:27:52,   2.400000E+01
     20046,11/23/2021,18:28:02,   2.900000E+01
     20047,11/23/2021,18:28:12,   3.400000E+01
     20048,11/23/2021,18:28:22,   3.900000E+01
     20049,11/23/2021,18:28:32,   4.400000E+01
     20050,11/23/2021,18:28:42,   4.900000E+01
     20051,11/23/2021,18:28:52,   5.400000E+01
